,Date,Form,New,Matters_level01,Matters_level2
0,1528-12-01T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
1,1528-02-17T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
2,1528-05-07T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
3,1528-05-30T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
4,1528-07-01T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
5,1528-07-08T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
7,1529-01-01T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
8,1529-03-18T00:00:00Z,Ordnung und Satzung,True,1 Social Order and Religion,Matters of Religion
9,1529-04-09T00:00:00Z,Ordnung und Satzung,True,1 Social Order and Religion,Matters of Religion
10,1529-08-18T00:00:00Z,Mandat,True,1 Social Order and Religion,Matters of Religion
11,1529-08-20T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
12,1529-11-14T00:00:00Z,Verordnung,True,1 Social Order and Religion,Matters of Religion
13,1530-03-05T00:00:00Z,Weiterung und christliche Verbesserung,True,4 Economic order. Work and professional regulations,Agriculture
16,1530-03-23T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Forestry and Land Use
17,1530-04-20T00:00:00Z,Ordnung,True,1 Social Order and Religion,Matters of Religion
18,1530-04-20T00:00:00Z,Verordnung,True,2 Public Order and Safety,Administration and Justice
19,1530-05-27T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Poor Relief
20,1530-05-31T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
21,1530-07-04T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
22,1530-08-09T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Trade and Services
24,1530-11-07T00:00:00Z,Verordnung,True,1 Social Order and Religion,Abundance and Luxury
26,1530-12-10T00:00:00Z,Ordnung,True,1 Social Order and Religion,Marginal Groups
27,1530-12-28T00:00:00Z,Verordnung,True,3 Social Services. Healthcare. Education. Culture,Healthcare
29,1531-02-24T00:00:00Z,Verordnung,True,4 Economic order. Work and professional regulations,Monetary and Credit System
