LawID,URI,LegislatorID,LegislatorName,LegislatorTitle,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerOrg,TerOrgID,TerType1,TerType2,TerReligion,TerDistrict,TerPublished,TerEditor,TerLitList,TerAbbrevList,TerPreface,Datum,Date1,Date,Year,Month,Day,Form,Scope_needscleaning,Scope_clean 2,Scope_clean 3,Scope_clean 4,Scope_clean 5,Scope_clean 6,Scope_clean 7,Scope_clean 8,Scope_clean 9,Scope_clean 10,Scope_clean 11,Scope_clean 12,Scope_clean 13,RelatesTo,Publication,Archive,StAB,Archive_folder,Pages,Remarks,Title,Facs,URL,Matters_level2_num01,Matters_level2_01,Matters_level3_01,Matters_level4_01,Matters_01_addinfo,Matters_level2_num02,Matters_level2_02,Matters_level3_02,Matters_level4_02,Matters_02_addinfo,Matters_level2_num03,Matters_level2_03,Matters_level3_03,Matters_level4_03,Matters_03_addinfo,Matters_level2_num04,Matters_level2_04,Matters_level3_04,Matters_level4_04,Matters_04_addinfo,Matters_level2_num05,Matters_level2_05,Matters_level3_05,Matters 5 5,Matters_level4_05,Matters_level2_num06,Matters_level2_06,Matters_level3_06,Matters_level4_06,Matters_06_addinfo,Matters_level2_num07,Matters_level2_07,Matters_level3_07,Matters_level4_07,Matters_07_addinfo,Matters_level2_num08,Matters_level2_08,Matters_level3_08,Matters_level4_08,Matters_08_addinfo,Matters_level2_num09,Matters_level2_09,Matters_level3_09,Matters_level4_09,Matters_09_addinfo,Matters_level2_num10,Matters_level2_10,Matters_level3_10,Matters_level4_10,Matters_10_addinfo,Matters_level2_num11,Matters_level2_11,Matters_level3_11,Matters_level4_11,Matters_level2_num12,Matters_level2_12,Matters_level3_12,Matters_level4_12,Matters_level2_num13,Matters_level2_13,Matters_level3_13,Matters_level4_13,Matters_level2_num14,Matters_level2_14,Matters_level3_14,Matters_level4_14,Matters_14_addinfo,Matters_level2_num15,Matters_level2_15,Matters_level3_15,Matters_level4_15,Matters_level2_num16,Matters_level2_16,Matters_level3_16,Matters_level4_16,Matters_level2_num17,Matters_level2_17,Matters_level3_17,Matters_level4_17,Matters_17_addinfo,Matters_level2_num18,Matters_level2_18,Matters_level3_18,Matters_level4_18,Matters_18_addinfo,Matters_level2_num19,Matters_level2_19,Matters_level3_19,Matters_level4_19,Matters_level2_num20,Matters_level2_20,Matters_level3_20,Matters_level4_20,Matters_level2_num21,Matters_level2_21,Matters_level3_21,Matters_level4_21,Matters_level2_num22,Matters_level2_22,Matters_level3_22,Matters_level4_22,Matters_22_addinfo,Matters_level2_num23,Matters_level2_23,Matters_level3_23,Matters_level4_23,Matters_23_addinfo,Matters_level2_num24,Matters_level2_24,Matters_level3_24,Matters_level4_24,Matters_24_addinfo,Matters_level2_num25,Matters_level2_25,Matters_level3_25,Matters_level4_25,Matters_level2_num26,Matters_level2_26,Matters_level3_26,Matters_level4_26,Matters_dirty,Dirty,Controlled,Links,Scope_original
BER.01.001.4968,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.00.00,,1528-12-01T00:00:00Z,1528,0,0,Verordnung,,Stadt Bern,,,,,,,,,,,,,,"StAB, A I 480, S. 231",StAB,A I 480,S. 231,,Verpott in der Statt Wäldenn khein Holz zefellen.,,,4.2,Forst- und Bodennutzung,Forst,Forstfrevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.4968.06412.0,,4.2,Forst- und Bodennutzung,,Forst,,,,,Forstfrevel,Kein näheres Datum,,,,,)",,,,Stadt Bern
BER.01.001.0001,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.02.07,,1528-02-17T00:00:00Z,1528,2,7,Ordnung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 1v-10v",StAB,A I 479,fol. 1v-10v,,,,,1.1,Religionsangelegenheiten,Geistlichkeit,",Amtsausübung; Amtsführung; Predigt; Aufsicht; Überwachung; Verhalten; Lebensführung; Verfehlungen; Arbeitsbedingungen; Sakramente",,1.1,Religionsangelegenheiten,Kirchenzucht,",Fasten; Toleranz; Messe",,1.1,Religionsangelegenheiten,Kirchenorganisation,",Pfarrstellenbesetzung; Abgaben; Vermögen; Stiftungen; Altäre; Kapellen",,1.1,Religionsangelegenheiten,Klosterwesen/Orden,",Verbot; Austritt; Bruderschaft",,1.1,Religionsangelegenheiten,Konfession,",Angehörige; Ausland; Religionsausübung",,1.1,Religionsangelegenheiten,Religiöse Unterweisung,",Predigt; Gottesdienst",,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,Zutrinken/Trunksucht,,,2.3,Zensur und Buchdruck,Zensur,",Bilder; Religiös",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0001.00001.0,,1.1,Religionsangelegenheiten,,Geistlichkeit,,,,,Amtsausübung; Amtsführung; Predigt; Aufsicht; Überwachung; Verhalten; Lebensführung; Verfehlungen; Arbeitsbedingungen; Sakramente,,,,,,),(BER.01.001.0001.00004.0,,1.1,Religionsangelegenheiten,,Kirchenzucht,,,,,Fasten; Toleranz; Messe,,,,,,),(BER.01.001.0001.00002.0,,1.1,Religionsangelegenheiten,,Kirchenorganisation,,,,,Pfarrstellenbesetzung; Abgaben; Vermögen; Stiftungen; Altäre; Kapellen,,,,,,),(BER.01.001.0001.00006.0,,1.1,Religionsangelegenheiten,,Klosterwesen/Orden,,,,,Verbot; Austritt; Bruderschaft,,,,,,),(BER.01.001.0001.00003.0,,1.1,Religionsangelegenheiten,,Konfession,,,,,Angehörige; Ausland; Religionsausübung,,,,,,),(BER.01.001.0001.00008.0,,1.1,Religionsangelegenheiten,,Religiöse Unterweisung,,,,,Predigt; Gottesdienst,,,,,,),(BER.01.001.0001.00007.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Zutrinken/Trunksucht,,,,,,,,,,,),(BER.01.001.0001.00005.0,,2.3,Zensur und Buchdruck,,Zensur,,,,,Bilder; Religiös,,,,,,)",,,,
BER.01.001.0002,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.04.27,,1528-05-07T00:00:00Z,1528,4,27,Ordnung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 11r-13v",StAB,A I 479,fol. 11r-13v,,Ordnung der Jarzyten unnd Liechternn ouch annderer Gotsgaben Beziechung.,,,1.1,Religionsangelegenheiten,Kirchenorganisation,",Gebäude; Stiftungen; Liquidation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0002.00009.0,,1.1,Religionsangelegenheiten,,Kirchenorganisation,,,,,Gebäude; Stiftungen; Liquidation,,,,,,)",,,,
BER.01.001.0003,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.05.20,,1528-05-30T00:00:00Z,1528,5,20,Ordnung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 13v-14r",StAB,A I 479,fol. 13v-14r,,,,,1.1,Religionsangelegenheiten,Kirchenorganisation,",Gebäude; Stiftungen; Liquidation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0003.00010.0,,1.1,Religionsangelegenheiten,,Kirchenorganisation,,,,,Gebäude; Stiftungen; Liquidation,,,,,,)",,,,
BER.01.001.0004,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.06.21,,1528-07-01T00:00:00Z,1528,6,21,Ordnung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 14v-15v",StAB,A I 479,fol. 14v-15v,,Erste Ordnung der Fyrtagenn.,,,1.1,Religionsangelegenheiten,Feiertage/Religiöse Feste,",Einführung",,1.1,Religionsangelegenheiten,Kirchenorganisation,",Geistliche Gerichtsbarkeit; Gericht; Chorgericht",,2.4,Policey der Verwaltung und Justiz,Verfahren,",Eidesformel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0004.00011.0,,1.1,Religionsangelegenheiten,,Feiertage/Religiöse Feste,,,,,Einführung,,,,,,),(BER.01.001.0004.00012.0,,1.1,Religionsangelegenheiten,,Kirchenorganisation,,,,,Geistliche Gerichtsbarkeit; Gericht; Chorgericht,,,,,,),(BER.01.001.0004.00013.0,,2.4,Policey der Verwaltung und Justiz,,Verfahren,,,,,Eidesformel,,,,,,)",,,,
BER.01.001.0005,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.06.28,,1528-07-08T00:00:00Z,1528,6,28,Ordnung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 15v-17r",StAB,A I 479,fol. 15v-17r,,"Billder, Alltar und Mässpfaffenn usszerütten etc.",,,1.1,Religionsangelegenheiten,Geistlichkeit,",Kontrolle",,1.1,Religionsangelegenheiten,Konfession,",Einschränkung; Religionsausübung; Messe; Altäre; Ausweisung; Beherbergungsverbot",,2.3,Zensur und Buchdruck,Zensur,",Bilder; Religiös",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0005.00016.0,,1.1,Religionsangelegenheiten,,Geistlichkeit,,,,,Kontrolle,,,,,,),(BER.01.001.0005.00015.0,,1.1,Religionsangelegenheiten,,Konfession,,,,,Einschränkung; Religionsausübung; Messe; Altäre; Ausweisung; Beherbergungsverbot,,,,,,),(BER.01.001.0005.00014.0,,2.3,Zensur und Buchdruck,,Zensur,,,,,Bilder; Religiös,,,,,,)",,,,
BER.01.001.0038,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.08.24,,1528-09-03T00:00:00Z,1528,8,24,Satzung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 170r-171r",StAB,A I 479,fol. 170r-171r,,Satzunng der Pension Miet oder Gabenn unnd frömbder Reyssgelouffenn Anfang.,,,2.2,Öffentliche Sicherheit; Kriminalität,Kriegslauf/Kriegsdienst,",Verbot; Pensionen,St. Bartlomey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0038.00123.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Kriegslauf/Kriegsdienst,,,,,Verbot; Pensionen,St. Bartlomey,,,,,)",,,,
BER.01.001.0006,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.12.22,,1529-01-01T00:00:00Z,1528,12,22,Verordnung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 17r",StAB,A I 479,fol. 17r,,Mässloser zestraffenn.,,,1.1,Religionsangelegenheiten,Konfession,",Religionsausübung; Einschränkung; Messe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0006.00017.0,,1.1,Religionsangelegenheiten,,Konfession,,,,,Religionsausübung; Einschränkung; Messe,,,,,,)",,,,
BER.01.001.0007,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1529.03.08,,1529-03-18T00:00:00Z,1529,3,8,Ordnung und Satzung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 18r-19v",StAB,A I 479,fol. 18r-19v,,Ordnunng unnd Satzung des Eegerichts. Straff des Eebruchs unnd Hury.,,,1.1,Religionsangelegenheiten,Geistlichkeit,",Amtsausübung; Amtsführung; Taufe; Abendmahl; Vorbereitung; Eheschließung",,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,Ehescheidung,",Bedingungen",,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,Eheschließung,",Bedingungen; Verbot; Minderjährige",,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,Ehebruch,",Verbot",,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,Unzucht,",Hurerei",,2.4,Policey der Verwaltung und Justiz,Zuständigkeiten Gerichte,",Ehegericht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0007.00018.0,,1.1,Religionsangelegenheiten,,Geistlichkeit,,,,,Amtsausübung; Amtsführung; Taufe; Abendmahl; Vorbereitung; Eheschließung,,,,,,),(BER.01.001.0007.00021.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Ehescheidung,,,,,Bedingungen,,,,,,),(BER.01.001.0007.00020.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Eheschließung,,,,,Bedingungen; Verbot; Minderjährige,,,,,,),(BER.01.001.0007.00019.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Ehebruch,,,,,Verbot,,,,,,),(BER.01.001.0007.00022.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Unzucht,,,,,Hurerei,,,,,,),(BER.01.001.0007.00023.0,,2.4,Policey der Verwaltung und Justiz,,Zuständigkeiten Gerichte,,,,,Ehegericht,,,,,,)",,,,
BER.01.001.0008,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1529.03.30,,1529-04-09T00:00:00Z,1529,3,30,Ordnung und Satzung,,,,,,,,,,,,,,,,"StAB, A I 479, fol. 27v-31r",StAB,A I 479,fol. 27v-31r,,"Ordnunng unnd Satzung beträffennd Schwerenn, Zutrinnckenn, Spilenn und die zerhouwnenn Khleyder.",,,1.1,Religionsangelegenheiten,Gotteslästerung,",Gott; Schwören & Fluchen,Osterzistag. Den Amtleuten zugesandt mit Begleitschreiben vom 21.04.1529",,1.4,Aufwand und Luxus,Kleidung,",Kleidung; Hosen",,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,Glücksspiel,",Verbot",,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,Zutrinken/Trunksucht,",Allgemeinheit; Geistliche; Amtleute; Fremde",,2.2,Öffentliche Sicherheit; Kriminalität,Waffenführung,",Degen; Waffen; Messer",,4.5,Handwerk und Gewerbe,Schneider,",Kleidung; Herstellung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.0008.00024.0,,1.1,Religionsangelegenheiten,,Gotteslästerung,,,,,Gott; Schwören & Fluchen,Osterzistag. Den Amtleuten zugesandt mit Begleitschreiben vom 21.04.1529,,,,,),(BER.01.001.0008.00027.0,,1.4,Aufwand und Luxus,,Kleidung,,,,,Kleidung; Hosen,,,,,,),(BER.01.001.0008.00026.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Glücksspiel,,,,,Verbot,,,,,,),(BER.01.001.0008.00025.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Zutrinken/Trunksucht,,,,,Allgemeinheit; Geistliche; Amtleute; Fremde,,,,,,),(BER.01.001.0008.00029.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Waffenführung,,,,,Degen; Waffen; Messer,,,,,,),(BER.01.001.0008.00028.0,,4.5,Handwerk und Gewerbe,,Schneider,,,,,Kleidung; Herstellung,,,,,,)",,,,
